t, vel_x_des, vel_x_act, vel_y_des, vel_y_act, w_des, w_act, zero, roll, pitch, height_target, height, z_left, z_right
0.078,0,0.00905151,0,0.00308197,0,-0.000927846,0,-0.000963605,-0.0117006,0.643,0.650201,-0.00971077,-0.00979805
0.08,0,0.0123208,0,0.00289591,0,-0.000120266,0,-0.00107488,-0.010617,0.643,0.64914,-0.00989924,-0.00990561
0.082,0,0.0155289,0,0.00273992,0,0.000408887,0,-0.00118579,-0.00927284,0.643,0.648052,-0.00998677,-0.0099273
0.084,0,0.0166457,0,0.00266879,0,0.00173191,0,-0.00128594,-0.00780193,0.643,0.646957,-0.00999166,-0.00987946
0.086,0,0.0177896,0,0.0026537,0,0.00300647,0,-0.00136719,-0.00632145,0.643,0.645872,-0.00992983,-0.00977636
0.088,0,0.0189486,0,0.00268489,0,0.00423462,0,-0.00143278,-0.0048248,0.643,0.644799,-0.00981396,-0.00962897
0.09,0,0.020112,0,0.00275305,0,0.00541875,0,-0.00148538,-0.00330702,0.643,0.643738,-0.00965495,-0.00944673
0.092,0,0.0212698,0,0.00283047,0,0.00659247,0,-0.00152662,-0.00176457,0.643,0.64269,-0.00946215,-0.00923771
0.094,0,0.0224128,0,0.00290475,0,0.00776388,0,-0.0015568,-0.000195196,0.643,0.641655,-0.00924355,-0.00900879
0.096,0,0.0235329,0,0.00297589,0,0.00892092,0,-0.00157609,0.00140225,0.643,0.640635,-0.00900594,-0.00876581
0.098,0,0.0246223,0,0.00304398,0,0.0100526,0,-0.00158472,0.00302795,0.643,0.639629,-0.00875506,-0.00851369
0.1,0,0.0256356,0,0.00307745,0,0.0104816,0,-0.00158333,0.00467925,0.643,0.638638,-0.00849573,-0.00825655
0.102,0,0.0265349,0,0.00305124,0,0.00966117,0,-0.00157376,0.00634577,0.643,0.637664,-0.00823196,-0.00799782
0.104,0,0.0259168,0,0.00383279,0,0.0115693,0,-0.00155701,0.00794786,0.643,0.636726,-0.00796846,-0.00774227
0.106,0,0.0251834,0,0.00462271,0,0.0134355,0,-0.00153436,0.00941518,0.643,0.635844,-0.00770935,-0.00749397
0.108,0,0.0243432,0,0.0054202,0,0.0152599,0,-0.00150788,0.0107514,0.643,0.635018,-0.00745645,-0.00725413
0.11,0,0.0234042,0,0.00622227,0,0.0170601,0,-0.00147903,0.0119596,0.643,0.634247,-0.00721123,-0.0070237
0.112,0,0.0223744,0,0.00702654,0,0.0188498,0,-0.00144829,0.0130428,0.643,0.633531,-0.00697485,-0.0068034
0.114,0,0.0212619,0,0.00783315,0,0.020624,0,-0.00141588,0.0140033,0.643,0.632871,-0.00674811,-0.00659369
0.116,0,0.0200742,0,0.00864227,0,0.0223779,0,-0.00138204,0.0148434,0.643,0.632265,-0.00653162,-0.00639485
0.118,0,0.018819,0,0.00945407,0,0.0241075,0,-0.00134707,0.015565,0.643,0.631714,-0.00632576,-0.00620701
0.12,0,0.0175096,0,0.0102688,0,0.0258111,0,-0.00131123,0.0161695,0.643,0.631216,-0.00613072,-0.00603015
0.122,0,0.0163481,0,0.011091,0,0.0275498,0,-0.00127482,0.0166627,0.643,0.630773,-0.00594658,-0.00586417
0.124,0,0.0150009,0,0.0115852,0,0.0327616,0,-0.00123762,0.017046,0.643,0.630385,-0.00577391,-0.00570883
0.126,0,0.013609,0,0.0120809,0,0.0378762,0,-0.00119953,0.0173114,0.643,0.630056,-0.00561314,-0.00556385
0.128,0,0.0122101,0,0.012579,0,0.0428998,0,-0.00116092,0.0174595,0.643,0.629784,-0.00546385,-0.00542889
0.13,0,0.0107888,0,0.0130782,0,0.0478275,0,-0.00112219,0.0174913,0.643,0.62957,-0.00532561,-0.0053036
0.132,0,0.00932746,0,0.0136499,0,0.0534471,0,-0.00108372,0.0174069,0.643,0.629413,-0.00519797,-0.00518759
0.134,0,0.00774775,0,0.0144748,0,0.0631267,0,-0.00104451,0.0172076,0.643,0.629312,-0.00507705,-0.00508033
0.136,0,0.00613696,0,0.0153469,0,0.071802,0,-0.00100532,0.016892,0.643,0.629265,-0.00496086,-0.0049814
0.138,0,0.00454223,0,0.0158733,0,0.0765885,0,-0.000967811,0.0164632,0.643,0.629271,-0.00484944,-0.00488769
0.14,0,0.00297876,0,0.0163989,0,0.0813164,0,-0.000931908,0.0159249,0.643,0.62933,-0.0047428,-0.00479782
0.142,0,0.00142855,0,0.0169235,0,0.0859845,0,-0.000897899,0.0152797,0.643,0.62944,-0.0046409,-0.00471186
0.144,0,0.000539815,0,0.0168563,0,0.0839019,0,-0.000868878,0.0145769,0.643,0.629594,-0.0045431,-0.00462913
0.146,0,-0.0003913,0,0.016756,0,0.0813317,0,-0.000846886,0.0138579,0.643,0.629785,-0.00444879,-0.00454902
0.148,0,-0.00134072,0,0.0166443,0,0.0786523,0,-0.000830415,0.0131157,0.643,0.630012,-0.00435804,-0.00447163
0.15,0,-0.00229732,0,0.0165312,0,0.0760179,0,-0.000818131,0.0123465,0.643,0.630275,-0.00427083,-0.00439701
0.152,0,-0.00325928,0,0.0164186,0,0.0734173,0,-0.000808932,0.0115468,0.643,0.630575,-0.00418712,-0.00432515
0.154,0,-0.00422461,0,0.016321,0,0.0708362,0,-0.000802011,0.0107132,0.643,0.630909,-0.00410685,-0.00425604
0.156,0,-0.00519354,0,0.0162435,0,0.0683027,0,-0.000796822,0.0098421,0.643,0.63128,-0.00402992,-0.00418961
0.158,0,-0.00616991,0,0.0161919,0,0.0659085,0,-0.000792921,0.00892938,0.643,0.631685,-0.00395623,-0.0041258
0.16,0,-0.0071497,0,0.0161646,0,0.063641,0,-0.000789949,0.00797031,0.643,0.632125,-0.00388565,-0.00406453
